Spoken_Volume_ID,Track_ID,Loudness,Instrumentalness,Speechiness,Acousticness
118,118,-4.569,0,0.0274,0.00462
119,119,-4.76,0,0.311,0.00144
120,120,-3.798,0,0.266,0.209
121,121,-2.827,0,0.0738,0.00286
122,122,-4.244,0,0.0572,0.0302
123,123,-3.138,0,0.0564,0.0215
124,124,-3.237,0,0.186,0.0622
125,125,-4.325,2.34E-06,0.238,0.0371
126,126,-5.034,0,0.227,0.241
127,127,-5.26,0,0.342,0.145
128,128,-4.164,3.05E-06,0.137,0.0017
129,129,-1.19,0,0.264,0.529
130,130,-4.662,0,0.183,0.219
131,131,-5.173,0.000153,0.212,0.337
132,132,-3.105,0,0.0571,0.0642
133,133,-3.751,1.45E-06,0.0596,0.00721
134,134,-6.338,6.73E-06,0.0444,0.276
135,135,-6.371,0,0.0452,0.199
136,136,-6.635,0,0.112,0.0541
137,137,-7.949,0,0.366,0.0195
138,138,-8.155,0,0.0359,0.432
139,139,-5.913,1.57E-06,0.13,0.453
140,140,-10.109,0,0.0333,0.934
141,141,-4.673,0.0127,0.0455,0.121
142,142,-3.093,4.96E-06,0.0853,0.256
143,143,-6.351,1.66E-05,0.0421,0.199
144,144,-7.665,0,0.243,0.549
145,145,-10.278,0.334,0.097,0.0765
146,146,-11.462,0.000162,0.425,0.33
147,147,-5.802,0.00209,0.0366,0.225
148,148,-8.114,0,0.186,0.124
149,149,-5.626,0,0.0449,0.0956
150,150,-5.6,0,0.0493,0.274
151,151,-4.207,1.23E-06,0.0459,0.419
152,152,-4.654,0,0.317,0.234
153,153,-5.892,0,0.0707,0.284
154,154,-6.408,0,0.147,0.0062
155,155,-5.282,0,0.0325,0.176
156,156,-11.589,1.11E-05,0.0792,0.35
157,157,-2.921,3.05E-05,0.0776,0.187
158,158,-7.786,0.000149,0.0641,0.269
159,159,-11.059,1.81E-06,0.0308,0.5
160,160,-5.134,0,0.0434,0.00473
161,161,-4.718,0,0.0379,0.0257
162,162,-4.802,0,0.0505,0.000735
163,163,-5.232,0,0.213,0.00413
164,164,-4.845,0.0086,0.0744,0.000417
165,165,-4.212,0,0.0766,0.00021
166,166,-4.757,0,0.146,0.214
167,167,-4.122,0,0.0315,0.00156
168,168,-6.695,0,0.0358,0.0693
169,169,-6.689,5.92E-05,0.0345,0.05
170,170,-5.298,0.00106,0.056,0.0338
171,171,-5.83,0,0.0511,0.443
172,172,-6.909,0,0.0937,0.228
173,173,-3.167,0,0.153,0.0913
174,174,-5.021,0,0.38,0.523
175,175,-4.832,0,0.145,0.183
176,176,-2.867,0,0.0306,0.531
177,177,-6.042,0,0.0385,0.282
178,178,-7.768,0,0.161,0.161
179,179,-11.937,0,0.0831,0.246
180,180,-10.484,0.00248,0.0347,0.0339
181,181,-8.339,0,0.0322,0.631
182,182,-11.913,0.248,0.0393,0.0302
183,183,-11.83,0,0.0326,0.879
184,184,-9.198,7.74E-06,0.0452,0.641
185,185,-14.361,1.41E-05,0.0342,0.754
186,186,-11.359,0,0.0323,0.449
187,187,-7.7,1.38E-05,0.0261,0.0112
188,188,-5.549,0,0.0476,0.386
189,189,-10.872,2.62E-06,0.0304,0.198
190,190,-3.206,0,0.161,0.191
191,191,-4.087,0,0.0981,0.0295
192,192,-5.797,0,0.0583,0.0921
193,193,-3.632,0,0.158,0.039
194,194,-3.035,0,0.0499,0.0124
195,195,-5.38,8.53E-05,0.056,0.0908
196,196,-4.317,0.0154,0.0581,0.00879
197,197,-8.401,0.000406,0.227,0.00684
198,198,-3.428,0,0.0884,0.0434
199,199,-6.422,0,0.243,0.0223
200,200,-2.862,0,0.117,0.0466
201,201,-4.675,0,0.0685,0.106
202,202,-5.112,1.62E-05,0.0986,0.109
203,203,-4.143,0,0.0352,0.614
204,204,-5.208,5.30E-06,0.0693,0.000624
205,205,-4.328,0,0.314,0.165
206,206,-3.04,0,0.225,0.067
207,207,-5.384,0,0.172,0.103
