Performance_ID,Youtube_ID,Likes,Comments
142,142,1480652,37678
143,143,5968729,147072
144,144,2781127,34795
145,145,4030063,68320
146,146,3251468,61104
147,147,12115,158
148,148,2754251,54867
149,149,1758555,28321
150,150,9415668,525670
151,151,3670104,161071
152,152,3361051,155635
153,153,6540184,223326
154,154,20327883,1283529
155,155,1327396,57072
156,156,507258,20625
157,157,10370533,404270
158,158,437988,25673
159,159,4970,245
160,160,1072165,33820
161,161,1198821,47830
162,162,294321,10253
163,163,1923118,31427
164,164,854345,30673
165,165,1278216,71379
166,166,3621125,110107
167,167,182210,7137
168,168,335937,3392
169,169,273280,13598
170,170,9883068,262847
171,171,4089045,96876
172,172,2634233,56053
173,173,6740,96
174,174,1811446,31069
175,175,748538,14194
176,176,435031,5375
177,177,4733493,168819
178,178,557112,17598
179,179,2340,62
180,180,1126554,32910
181,181,1075941,15452
182,182,383619,3211
183,183,475089,5938
184,184,490790,4309
185,185,365297,4522
186,186,463315,8607
187,187,460662,6569
188,188,275921,4031
189,189,675186,26651
190,190,4265538,162078
191,191,5671596,158456
192,192,1423079,25528
193,193,2999847,113202
194,194,2961540,153962
195,195,1576522,30102
196,196,4925915,267026
197,197,1533812,45324
198,198,1078390,36962
199,199,688783,16459
200,200,7147862,108564
201,201,2124819,38673
202,202,2514731,32073
203,203,1324227,20700
204,204,2235710,59894
205,205,1317175,17399
206,206,1317175,17399
207,207,2018040,29163
208,208,668740,12932
209,209,1928933,20224
210,210,3486602,125337
211,211,209579,7591
212,212,4533,155
213,213,84407,1872
214,214,17369,811
215,215,152547,3757
216,216,374007,22080
217,217,1868278,53891
218,218,,2484
219,219,370274,4350
220,220,4363164,208460
221,221,1301,41
222,222,484619,12875
223,223,64269,1918
224,224,24831,820
225,225,4350,305
226,226,3225481,134343
227,227,58781,2136
228,228,251281,6109
229,229,13416,814
230,230,2843117,200546
231,231,5635352,149004
232,232,1854617,50520
233,233,175218,3211
234,234,2308329,97470
235,235,1010443,39623
236,236,1231331,27893
237,237,373,6
238,238,1245805,51496
239,239,369883,12192
240,240,2941752,113424
241,241,6142541,142101
242,242,4833883,288946
243,243,2019702,183018
244,244,1119672,88673
245,245,2641825,97534
246,246,192622,4934
247,247,256,8
248,248,273280,13598
249,249,370102,1649
250,250,4266217,67110
251,251,1964768,31983
252,252,12476394,577131
253,253,14149628,396631
254,254,8821956,193866
255,255,3990442,81179
256,256,5191365,295936
257,257,32710,1226
258,258,988318,29233
259,259,494298,22853
260,260,476988,18380
261,261,618971,1942
262,262,342799,12135
263,263,44832,2039
264,264,451100,24275
265,265,42737,1411
266,266,385402,15325
267,267,61004,3698
268,268,436530,17764
269,269,23628,43
270,270,3253260,125468
271,271,3156029,67741
272,272,1324658,38708
273,273,51162,2172
274,274,512491,22130
275,275,512716,25315
276,276,39389,798
277,277,368779,14431
278,278,1203620,48127
279,279,375323,15600
280,280,144902,2105
281,281,94812,3321
282,282,286935,4977
283,283,323576,12901
284,284,5476,190
285,285,23726,533
286,286,1746670,20771
287,287,131664,3857
288,288,271523,15163
289,289,932,27
290,290,137385,2405
291,291,980422,16264
292,292,2401650,39197
293,293,28849,602
294,294,1836947,26791
295,295,96134,2236
296,296,61252,1238
297,297,31412,416
298,298,32315,693
299,299,520812,11774
300,300,2532714,46017
301,301,1658219,37642
302,302,165237,6585
303,303,960562,25910
304,304,22237,1137
305,305,638960,15221
306,306,650110,18268
307,307,47486,2114
308,308,209965,571
309,309,809894,26363
310,310,2521768,103200
311,311,833985,11631
312,312,219401,4024
313,313,138161,5585
