Musicality_ID,Track_ID,Tempo,Key
260,260,120.151,0
261,261,151.553,9
262,262,114.965,4
263,263,135.448,5
264,264,159.375,7
265,265,118.745,9
266,266,124.825,2
267,267,129.012,9
268,268,130.879,5
269,269,176.083,6
270,270,100.804,9
271,271,119.528,10
272,272,137.547,2
273,273,133.113,11
274,274,126.15,6
275,275,107.064,11
276,276,133.481,2
277,277,147.604,2
278,278,84.229,9
279,279,118.34,0
280,280,142.169,2
281,281,92.183,8
282,282,174.609,8
283,283,75.454,2
284,284,207.356,4
285,285,140.281,10
286,286,119.416,7
287,287,90.348,5
288,288,112.803,4
289,289,87.575,8
290,290,120.003,8
291,291,117.953,7
292,292,119.986,11
293,293,122.06,1
294,294,120.031,8
295,295,123.045,7
296,296,126.017,4
297,297,123.046,4
298,298,127.964,7
299,299,128.008,3
300,300,116.032,1
301,301,176.808,6
302,302,126.027,0
303,303,136.571,10
304,304,128.157,3
305,305,131.459,5
306,306,145.075,0
307,307,140.308,2
308,308,121.227,5
309,309,113.99,0
310,310,140.022,1
311,311,173.585,11
312,312,107.045,2
313,313,86.844,1
314,314,92.78,8
315,315,177.997,9
316,316,89.64,9
317,317,94.577,7
318,318,149.762,4
319,319,92.131,2
320,320,97.95,1
321,321,153.15,11
322,322,165.921,0
323,323,87.933,2
324,324,122.03,4
325,325,130.029,10
326,326,158.014,9
327,327,131.016,8
328,328,129.963,7
329,329,145.887,5
330,330,148.913,1
331,331,87.999,10
332,332,90.482,6
333,333,140.022,1
334,334,113.088,7
335,335,103.992,10
336,336,191.385,0
337,337,109.813,1
338,338,86.917,1
339,339,93.034,1
340,340,133.263,6
341,341,155.127,10
342,342,119.828,3
343,343,97.959,7
344,344,70.276,0
345,345,144.276,0
346,346,147.977,0
347,347,76.54,10
348,348,160.397,5
349,349,89.929,10
350,350,115.042,7
351,351,99.165,2
352,352,121.892,10
353,353,114.942,1
354,354,79.983,11
355,355,94.103,0
356,356,114.991,1
357,357,94.992,8
358,358,140.036,5
359,359,127.091,0
360,360,96.986,0
361,361,93.037,1
362,362,96.008,0
363,363,90.04,7
364,364,97.014,8
365,365,177.928,2
366,366,93.989,8
367,367,94.017,4
368,368,97.982,4
369,369,100.046,5
370,370,150.073,10
371,371,127.998,6
372,372,162.948,5
373,373,140.042,1
374,374,69.808,5
375,375,142.046,4
376,376,150.002,8
377,377,76.006,3
378,378,147,1
379,379,106.726,7
380,380,97.194,7
381,381,122.959,4
382,382,174.107,7
383,383,197.635,0
384,384,128.925,0
385,385,183.89,8
386,386,144.511,0
387,387,78.791,9
388,388,106.002,9
389,389,193.922,9
390,390,126.027,0
391,391,143.04,5
392,392,113.324,2
393,393,92.96,0
394,394,95.053,1
395,395,147.08,0
396,396,139,11
397,397,114.98,6
398,398,107.987,7
399,399,129.954,4
400,400,130.001,7
