YouTube_ID,Track_ID,Views,Streams
362,362,23852149,536817412
363,363,87084154,295869713
364,364,1559861,315104207
365,365,8079646911,1506598267
366,366,2626439287,1170562263
367,367,39763039,203988701
368,368,3647171,197998077
369,369,864990,201700378
370,370,904204,49105411
371,371,284033349,682479132
372,372,78483083,560791223
373,373,188678850,1142825569
374,374,8818478,15859788
375,375,24139842,171091255
376,376,30608215,92010224
377,377,31440593,141369736
378,378,19221097,77395440
379,379,712131,50148408
380,380,166098054,266678074
381,381,20886,192312139
382,382,902197206,665804353
383,383,15736532,31400753
384,384,171403894,205577936
385,385,129179970,290126900
386,386,174663952,268237254
387,387,6825015,13702635
388,388,24706293,89466323
389,389,794818462,530878132
390,390,15181510,190102352
391,391,593978662,893129259
392,392,294678986,424168867
393,393,790774922,588819207
394,394,398575571,581869840
395,395,1189091,260444233
396,396,355445991,423188557
397,397,215417979,262573012
398,398,200917975,187278764
399,399,127036180,145511234
400,400,518925108,1174282383
401,401,986386304,628424773
402,402,1202913849,396374422
403,403,567182812,569523901
404,404,2661002503,1048932845
405,405,496745873,529555988
406,406,129179970,290126900
407,407,528082104,195678858
408,408,24706293,89466323
409,409,10487689,13182610
410,410,,164335543
411,411,,87208105
412,412,,32687696
413,413,,9342135
414,414,,139147141
415,415,,41489345
416,416,,218642391
417,417,,174187402
418,418,,255001593
419,419,20369344,528853212
420,420,154690126,266083896
421,421,239113558,205824087
422,422,228093498,121359658
423,423,320120240,233844328
424,424,43190273,101142300
425,425,1548721,193227242
426,426,14170,244111564
427,427,47339991,117809204
428,428,31222205,147021007
429,429,83793080,646937556
430,430,2242438,139674263
431,431,445294846,866702211
432,432,89848525,381634599
433,433,161055631,581510489
434,434,310110524,349456576
435,435,62379960,92083585
436,436,83793080,36852704
437,437,7338751,44683570
438,438,595358298,327435679
439,439,192177,208337920
440,440,13642,44638153
441,441,294691541,379059402
442,442,30154731,273237961
443,443,256025742,638746688
444,444,17773546,53989958
445,445,1516174,76686049
446,446,58687130,256262137
447,447,1985424,17960938
448,448,9379911,48972127
449,449,753218999,1437977604
450,450,17209207,226569574
451,451,104948400,257187137
452,452,306941658,301955185
453,453,557340303,431793600
454,454,295026099,227592322
455,455,379787199,194107435
456,456,204281507,231493779
457,457,339244228,218020440
458,458,106246436,102088157
459,459,86199720,41725242
460,460,77095861,91092219
461,461,435786754,78684300
462,462,82721044,85746449
463,463,26504186,52826792
464,464,17107007,64456952
465,465,16992074,33410129
466,466,65094477,37409758
467,467,333829289,73834235
468,468,94808515,47727856
469,469,21912,
470,470,21912,
471,471,21912,
472,472,21912,
473,473,21912,
474,474,21912,
475,475,21912,
476,476,21912,
477,477,21912,
478,478,21912,
479,479,404999375,237685270
480,480,9928703,196665486
