Track_ID,Artist_Name,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream
21,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Candy Shop,The Massacre,album,spotify:track:5D2mYZuzcgjpchVY1pmTPh,0.614,0.574,11.0,-7.961,0.466,0.0253,3.2e-05,0.38,0.755,125.173,209107.0,https://www.youtube.com/watch?v=SRcnnId15BA,50 Cent - Candy Shop (Official Music Video) ft. Olivia,50CentVEVO,838974650.0,5014527.0,113251.0,True,True,701248893.0
22,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Just A Lil Bit,The Massacre,album,spotify:track:4nva9EpKntUTs6CRSGBCn9,0.489,0.692,1.0,-6.672,0.41,0.0322,0.00608,0.315,0.527,96.946,237707.0,https://www.youtube.com/watch?v=GllEDACUbNo,50 Cent - Just A Lil Bit,50CentVEVO,476133463.0,2523312.0,42075.0,True,True,395155110.0
23,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,P.I.M.P.,Get Rich Or Die Tryin',album,spotify:track:2D1hlMwWWXpkc3CZJ5U351,0.7,0.758,10.0,-3.012,0.342,0.0444,1.3e-05,0.0401,0.889,78.693,249467.0,https://www.youtube.com/watch?v=UDApZhXTpH8,"50 Cent - P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit",50CentVEVO,572659065.0,3334710.0,60552.0,True,True,541728561.0
24,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Many Men (Wish Death),Get Rich Or Die Tryin',album,spotify:track:2I9foKseoFQh07p6sD2voE,0.653,0.826,6.0,-2.93,0.354,0.0153,0.00146,0.131,0.416,108.52,256227.0,https://www.youtube.com/watch?v=5D3crqpClPY,50 Cent - Many Men (Wish Death) (Dirty Version),50CentVEVO,441155628.0,2765887.0,84117.0,True,True,332175400.0
25,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Disco Inferno,The Massacre,album,spotify:track:69bHJ9qs5FrUJbKP8xU8uZ,0.925,0.659,3.0,-4.763,0.231,0.206,7.88e-05,0.279,0.71,97.018,214227.0,https://www.youtube.com/watch?v=GNqYWkiBHHw,50 Cent - Disco Inferno (Official Music Video),50CentVEVO,39825951.0,382791.0,12038.0,True,True,202477187.0
26,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,21 Questions,Get Rich Or Die Tryin',album,spotify:track:41bIQPBE1lFN0mmw6Lmssz,0.576,0.807,6.0,-3.908,0.317,0.353,0.000363,0.0512,0.908,90.012,224427.0,https://www.youtube.com/watch?v=cDMhlvbOFaM,50 Cent - 21 Questions (Official Music Video) ft. Nate Dogg,50CentVEVO,503248572.0,2759199.0,54805.0,True,True,446003044.0
27,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Is This Love ('09) (feat. 50 Cent),Curtain Call 2,album,spotify:track:7rK0iM6jwuo1oizdx8suQA,0.853,0.776,8.0,-4.221,0.261,0.0714,0.0,0.181,0.659,94.028,212013.0,https://www.youtube.com/watch?v=Zl64MRAqQxk,"Eminem, 50 Cent - Is This Love ('09) [Visualizer]",EminemVEVO,5289821.0,245935.0,9008.0,True,True,28529840.0
28,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,If I Can't,Get Rich Or Die Tryin',album,spotify:track:7JeKXMQKm6GoLGTkNy2jZ0,0.892,0.631,11.0,-2.522,0.302,0.244,0.0,0.0235,0.838,93.975,196640.0,https://www.youtube.com/watch?v=_vUC0-V2k1E,50 Cent - If I Can't (Official Music Video),Wu Sound,46096.0,612.0,14.0,False,False,210473579.0
29,50 Cent,https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh,Best Friend - Remix,Best Friend (Remix),single,spotify:track:1wI3UvluGGKUeFeVFsP9do,0.545,0.64,10.0,-3.529,0.308,0.368,0.0,0.111,0.574,181.733,254493.0,https://www.youtube.com/watch?v=UQNLDwQYDDg,50 Cent-Best Friend(Remix),Lightning,291023.0,5729.0,46.0,False,False,160037992.0
30,Metallica,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,Enter Sandman (Remastered),Metallica (Remastered),album,spotify:track:3VqHuw0wFlIHcIPWkhIbdQ,0.566,0.834,6.0,-8.412,0.0298,0.00277,0.008,0.0625,0.621,123.296,331560.0,https://www.youtube.com/watch?v=CD-E-LDc384,Metallica: Enter Sandman (Official Music Video),Metallica,573553706.0,2828795.0,81335.0,True,True,
