rank,movie_name,year,imdb_rating,duration,genre
191,Mr. Smith Goes to Washington,1939,8.1,129,Comedy
192,The Wages of Fear,1953,8.2,131,Adventure
193,Barry Lyndon,1975,8.1,185,Adventure
194,Sherlock Jr,1924,8.2,45,Action
195,Memories of Murder,2003,8.1,131,Crime
196,Room,2015,8.1,118,Drama
197,Klaus,2019,8.1,96,Animation
198,Hacksaw Ridge,2016,8.1,139,Biography
199,The Seventh Seal,1957,8.1,96,Drama
200,Wild Tales,2014,8.1,122,Comedy
201,The Big Lebowski,1998,8.1,117,Comedy
202,Mad Max: Fury Road,2015,8.1,120,Action
203,How to Train Your Dragon,2010,8.1,98,Animation
204,Mary and Max.,2009,8.1,92,Animation
205,"Monsters, Inc.",2001,8.1,92,Animation
206,Jaws,1975,8.1,124,Adventure
207,The Passion of Christ,1928,8.2,110,Biography
208,Hotel Rwanda,2004,8.1,121,Biography
209,Dead Poets Society,1989,8.1,128,Comedy
210,Tokyo Story,1953,8.2,136,Drama
211,Pather Panchali,1955,8.3,125,Drama
212,Rocky,1976,8.1,120,Drama
213,Platoon,1986,8.1,120,Drama
214,Ford v Ferrari,2019,8.1,152,Action
215,Stand by Me,1986,8.1,89,Adventure
216,The Terminator,1984,8.1,107,Action
217,Spotlight,2015,8.1,129,Biography
218,Rush,2013,8.1,123,Action
219,Into the Wild,2007,8.1,148,Adventure
220,Network,1976,8.1,121,Drama
221,The Wizard of Oz,1939,8.1,102,Adventure
222,Logan,2017,8.1,137,Action
223,Groundhog Day,1993,8.1,101,Comedy
224,Ratatouille,2007,8.1,111,Animation
225,Before Sunset,2004,8.1,80,Drama
226,The Exorcist,1973,8.1,122,Horror
227,The Best Years of Our Lives,1946,8.1,170,Drama
228,The Incredibles,2004,8,115,Animation
229,To Be or Not to Be,1942,8.2,99,Comedy
230,The Grapes of Wrath,1940,8.1,129,Drama
231,Rebecca,1940,8.1,130,Drama
232,The Battle of Algiers,1966,8.1,121,Drama
233,Hachi: A Dog's Tale,2009,8.1,93,Biography
234,Cool Hand Luke,1967,8.1,127,Crime
235,Amores perros,2000,8.1,154,Drama
236,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,143,Action
237,La haine,1995,8.1,98,Crime
238,The 400 Blows,1959,8.1,99,Crime
239,Persona,1966,8.1,85,Drama
240,Life of Brian,1979,8,94,Comedy
241,My Father and My Son,2005,8.2,112,Drama
242,Dersu Uzala,1975,8.2,142,Adventure
243,It Happened One Night,1934,8.1,105,Comedy
244,The Sound of Music,1965,8.1,172,Biography
245,The Handmaiden,2016,8.1,145,Drama
246,Jai Bhim,2021,8.9,164,Crime
247,Aladdin,1992,8,90,Animation
248,Gandhi,1982,8.1,191,Biography
249,The Help,2011,8.1,146,Drama
250,Beauty and the Beast,1991,8,84,Animation
