rank,movie_id,movie_name,year,imdb_rating,duration,genre
163,tt0046912,Dial M for Murder,1954,8.2,105,Crime
164,tt1305806,The Secret in Their Eyes,2009,8.2,129,Drama
165,tt0050212,The Bridge on the River Kwai,1957,8.2,161,Adventure
166,tt0347149,Howl's Moving Castle,2004,8.2,119,Animation
167,tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,8.1,115,Comedy
168,tt0117951,Trainspotting,1996,8.1,93,Drama
169,tt1205489,Gran Torino,2008,8.1,116,Drama
170,tt1291584,Warrior,2011,8.2,140,Action
171,tt0116282,Fargo,1996,8.1,98,Crime
172,tt0096283,My Neighbor Totoro,1988,8.1,86,Animation
173,tt1392214,Prisoners,2013,8.1,153,Crime
174,tt0405159,Million Dollar Baby,2004,8.1,132,Drama
175,tt0015864,The Gold Rush,1925,8.2,95,Adventure
176,tt0083658,Blade Runner,1982,8.1,117,Action
177,tt0264464,Catch Me If You Can,2002,8.1,141,Biography
178,tt0047296,On the Waterfront,1954,8.1,108,Crime
179,tt0041959,The Third Man,1949,8.1,104,Film-Noir
180,tt0118849,Children of Heaven,1997,8.2,89,Drama
181,tt0052618,Ben-Hur,1959,8.1,212,Adventure
182,tt2024544,12 Years a Slave,2013,8.1,134,Biography
183,tt0017925,The General,1926,8.2,67,Action
184,tt0050986,Wild Strawberries,1957,8.1,91,Drama
185,tt2267998,Gone Girl,2014,8.1,149,Drama
186,tt0112471,Before Sunrise,1995,8.1,101,Drama
187,tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,130,Adventure
188,tt0077416,The Deer Hunter,1978,8.1,183,Drama
189,tt0107207,In the Name of the Father,1993,8.1,133,Biography
190,tt2278388,The Grand Budapest Hotel,2014,8.1,99,Adventure
191,tt0031679,Mr. Smith Goes to Washington,1939,8.1,129,Comedy
192,tt0046268,The Wages of Fear,1953,8.2,131,Adventure
193,tt0072684,Barry Lyndon,1975,8.1,185,Adventure
194,tt0015324,Sherlock Jr,1924,8.2,45,Action
